# This is adapted from the file getCarCurrent.m which is part of the LIONSIMBA toolbox.,
# time [s], current [A]
0,0.7E-3
10800,0.7E-3
10800.001,0
18000,0
18000.001,-0.35E-3
24000,-0.35E-3
