relative_radius,outdir
0.05,mesh/study_3/0.05
0.05,mesh/study_3/0.05
0.1,mesh/study_3/0.1
0.15,mesh/study_3/0.15
0.2,mesh/study_3/0.2
0.25,mesh/study_3/0.25
0.3,mesh/study_3/0.3
0.35,mesh/study_3/0.35
0.4,mesh/study_3/0.4
0.45,mesh/study_3/0.45
0.5,mesh/study_3/0.5
0.55,mesh/study_3/0.55
0.6,mesh/study_3/0.6
0.65,mesh/study_3/0.65
0.7,mesh/study_3/0.7
0.75,mesh/study_3/0.75
0.8,mesh/study_3/0.8
0.85,mesh/study_3/0.85
0.9,mesh/study_3/0.9
