porosity,kappa_eff [S/m]
0.8973,0.085221
0.811,0.074068
0.7275,0.063355
0.6711,0.05679
0.7275,0.063355
0.811,0.074068
0.8973,0.085221
0.5981,0.04797
0.599,0.048784
0.608,0.048762
