Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
# Electrolyte properties,,,
Typical electrolyte concentration [mol.m-3],1000,,
Cation transference number,1,,
1 + dlnf/dlnc,1,,
Electrolyte diffusivity [m2.s-1],5E-12,, 
Electrolyte conductivity [S.m-1],1,,
