relative_radius,data_dir
0.1,mesh/study_3/0.1
0.2,mesh/study_3/0.2
0.3,mesh/study_3/0.3
0.4,mesh/study_3/0.4
0.5,mesh/study_3/0.5
0.6,mesh/study_3/0.6
0.7,mesh/study_3/0.7
0.8,mesh/study_3/0.8
0.9,mesh/study_3/0.9
