pct coverage,effective conductivity [S/m],pct deviation
0.05,0.04156,0.071
0.1,0.054735,0.059
0.2,0.069826,0.0483
0.3,0.07888,0.0426
0.4,0.084983,0.0384
0.5,0.089334,0.0341
0.6,0.092414,0.0305
0.7,0.094667,0.0261
0.75,0.095563,0.0235
