"Thickness, Lz [um]","Left Active Area, A/A0",Fraction of A0 (i ≈ 0)
1.7,36.38,54.36
1.7,6.3,90.42
1.7,0.45,99.24
85,36.38,1.00
85,6.3,22.64
85,0.45,83.30
170,36.38,0.00
170,6.3,1.72
170,0.45,73.88
