porosity,kappa_eff [S/m]
0.4387,0.030902
0.4451,0.030866
0.4691,0.033678
0.475,0.034375
0.481,0.033994
0.5539,0.042892
0.6479,0.053119
0.7448,0.065295
0.8165,0.074144
0.8621,0.080253
