centroid,pixel_avg,pixel_std
"(271.29, 484.64)",54.15,7.25
"(286.67, 135.92)",55.48,6.67
"(284.86, 171.62)",55.95,6.94
"(288.17, 10.46)",59.92,9.74
"(290.61, 96.86)",56.21,7.07
"(288.10, 36.79)",57.00,7.74
"(289.32, 318.55)",54.55,7.78
"(292.53, 258.85)",54.71,6.52
"(292.47, 204.27)",57.46,7.03
"(297.27, 289.84)",54.63,6.31
"(295.58, 409.90)",56.22,7.95
"(288.04, 454.31)",63.13,18.65
"(295.39, 63.42)",56.50,7.59
"(300.25, 379.39)",55.84,7.77
"(293.94, 231.49)",54.89,6.71
"(303.99, 345.15)",53.19,6.50
"(301.09, 433.94)",56.61,7.77
"(302.80, 488.90)",55.69,11.65
"(298.10, 451.60)",21.80,4.42
"(308.85, 469.99)",52.23,9.15
"(305.43, 454.71)",22.86,4.82
"(325.42, 39.42)",54.83,7.60
"(319.42, 172.91)",54.42,6.57
"(327.39, 10.94)",55.01,7.40
"(323.89, 134.07)",54.51,6.81
"(323.28, 238.06)",53.82,6.63
"(328.11, 310.40)",52.30,6.21
"(333.97, 94.79)",54.58,6.87
"(325.64, 452.70)",54.18,8.12
"(327.60, 206.05)",54.94,7.16
"(329.56, 270.45)",52.43,6.30
"(322.73, 427.63)",52.41,7.76
"(314.00, 483.50)",37.50,1.50
"(333.29, 66.19)",60.19,8.74
"(331.31, 487.87)",60.98,10.68
"(336.92, 396.07)",51.46,6.12
"(338.59, 352.49)",51.24,6.52
"(355.63, 428.79)",48.97,6.82
"(352.39, 167.93)",51.92,6.44
"(351.32, 460.87)",52.32,14.64
"(358.12, 231.59)",51.26,6.18
"(360.51, 294.58)",49.58,6.42
"(359.53, 198.70)",52.88,7.03
"(360.17, 261.54)",50.67,6.29
"(361.67, 132.46)",52.55,6.48
"(359.38, 49.01)",53.62,7.51
"(365.46, 327.81)",49.77,6.12
"(348.00, 481.00)",72.00,0.00
"(362.34, 487.86)",62.62,12.27
"(363.17, 16.29)",55.33,9.61
"(368.27, 371.28)",47.98,6.09
"(367.65, 73.57)",58.85,12.34
"(373.70, 98.22)",53.35,9.70
"(377.36, 398.23)",48.47,6.91
"(385.85, 457.82)",56.78,8.07
"(390.61, 45.34)",51.58,7.16
"(389.61, 167.42)",49.20,6.22
"(390.90, 9.77)",57.42,17.27
"(392.47, 272.03)",48.16,6.12
"(393.25, 204.67)",49.83,6.70
"(393.88, 344.03)",46.40,6.15
"(390.44, 424.10)",46.82,8.04
"(392.17, 489.08)",54.47,10.01
"(397.03, 238.00)",48.65,6.43
"(398.52, 127.25)",50.42,6.50
"(400.86, 306.48)",46.55,6.13
"(397.64, 73.51)",55.11,8.96
"(401.81, 371.31)",53.23,12.43
"(408.66, 93.68)",68.67,12.66
"(407.07, 392.50)",55.30,9.81
"(398.22, 102.44)",64.56,6.91
"(403.92, 19.25)",60.67,5.51
"(413.72, 450.69)",55.29,9.59
"(419.25, 415.96)",57.79,8.56
"(417.86, 17.50)",57.20,10.72
"(418.59, 109.95)",23.10,7.60
"(421.45, 483.88)",51.95,9.03
"(426.73, 157.84)",47.26,6.41
"(428.63, 196.55)",47.02,6.28
"(423.77, 335.25)",49.29,9.74
"(432.31, 53.35)",48.66,9.02
"(428.49, 271.30)",44.42,6.35
"(425.14, 359.34)",48.38,8.67
"(423.85, 83.09)",50.87,7.44
"(433.46, 233.83)",45.18,6.17
"(440.32, 446.45)",37.72,14.65
"(435.53, 117.84)",53.61,11.09
"(434.14, 309.74)",41.40,8.50
"(432.65, 387.40)",45.20,13.78
"(427.00, 104.50)",55.75,5.72
"(427.00, 443.00)",64.00,0.00
"(447.03, 14.89)",54.97,9.63
"(434.00, 30.00)",36.00,0.00
"(451.31, 80.65)",46.71,7.68
"(451.28, 362.08)",50.31,6.12
"(446.34, 415.93)",54.42,10.70
"(451.67, 482.59)",43.19,9.32
"(457.49, 136.55)",46.23,7.71
"(454.38, 331.94)",49.13,7.62
"(458.48, 296.30)",44.74,9.23
"(461.56, 170.49)",42.90,6.41
"(453.86, 104.79)",44.57,6.80
"(458.56, 389.36)",49.53,6.47
"(462.43, 203.43)",44.69,7.22
"(461.37, 262.72)",48.84,7.13
"(463.03, 231.64)",44.23,9.25
"(477.71, 43.67)",41.69,6.42
"(477.11, 456.55)",42.02,8.28
"(481.09, 424.37)",37.55,6.81
"(482.79, 112.37)",49.92,7.45
"(484.60, 11.19)",49.42,8.43
"(485.39, 78.79)",46.14,8.41
"(486.76, 306.76)",47.10,6.80
"(485.77, 486.36)",39.99,9.06
"(483.05, 335.09)",47.33,8.82
"(486.02, 360.85)",44.85,8.18
"(487.62, 390.24)",44.24,6.98
"(488.92, 271.04)",45.71,7.56
"(490.04, 145.28)",43.94,15.13
"(490.01, 236.89)",46.24,9.51
"(489.92, 175.91)",45.77,11.20
"(490.91, 205.78)",39.83,10.29
"(489.00, 345.00)",16.00,0.00
