eps,resistance [Ohm],slit pos [y*]
0.6,8.69,0.25
0.7,4.65,0.25
0.8,3.17,0.25
0.9,2.41,0.25
1,1.97,0.25
0.05,4587.16,0.5
0.1,4098.36,0.5
0.2,3095.98,0.5
0.3,2096.44,0.5
0.4,1090.51,0.5
0.5,91,0.5
0.6,8.9,0.5
0.7,4.71,0.5
0.8,3.2,0.5
0.9,2.43,0.5
1,1.99,0.5
0.05,2309.47,0.75
0.1,2066.12,0.75
0.2,1564.95,0.75
0.3,1067.24,0.75
0.4,568.18,0.75
0.5,73.82,0.75
0.6,8.93,0.75
0.7,4.72,0.75
0.8,3.21,0.75
0.9,2.43,0.75
1,1.99,0.75
